"glc19SpId";"scName"
29973;"Betula pendula Roth"
29974;"Quercus ilex L."
29977;"Castanea sativa Mill."
29978;"Ilex aquifolium L."
29979;"Euphorbia lathyris L."
29980;"Hedera helix L."
29982;"Verbascum thapsus L."
29985;"Olea europaea L."
29989;"Acanthus mollis L."
30003;"Geranium robertianum L."
30004;"Echium vulgare L."
30005;"Lobularia maritima (L.) Desv."
30007;"Orchis mascula (L.) L."
30015;"Orchis purpurea Huds."
30018;"Anacamptis pyramidalis (L.) Rich."
30021;"Ophrys apifera Huds."
30023;"Tanacetum vulgare L."
30040;"Stellaria media (L.) Vill."
30041;"Silene latifolia Poir."
30048;"Saponaria officinalis L."
30054;"Plantago major L."
30055;"Plantago lanceolata L."
30075;"Euonymus europaeus L."
30084;"Buddleja davidii Franch."
30102;"Achillea millefolium L."
30105;"Arbutus unedo L."
30106;"Acacia dealbata Link"
30109;"Trifolium pratense L."
30114;"Veronica persica Poir."
30115;"Trifolium repens L."
30120;"Salvia pratensis L."
30123;"Phytolacca americana L."
30126;"Glechoma hederacea L."
30134;"Sambucus nigra L."
30147;"Cirsium arvense (L.) Scop."
30148;"Rosmarinus officinalis L."
30156;"Ligustrum vulgare L."
30166;"Digitalis purpurea L."
30184;"Fagus sylvatica L."
30185;"Ruscus aculeatus L."
30186;"Carpinus betulus L."
30205;"Vicia sativa L."
30207;"Viburnum lantana L."
30222;"Stellaria holostea L."
30229;"Silene vulgaris (Moench) Garcke"
30230;"Silene dioica (L.) Clairv."
30248;"Robinia pseudoacacia L."
30255;"Prunella vulgaris L."
30256;"Primula veris L."
30261;"Persicaria maculosa Gray"
30289;"Lotus corniculatus L."
30295;"Laurus nobilis L."
30307;"Heliotropium europaeum L."
30311;"Gentiana lutea L."
30315;"Fraxinus excelsior L."
30324;"Cyanus montanus (L.) Hill"
30330;"Heracleum sphondylium L."
30337;"Euphorbia cyparissias L."
30346;"Cyanus segetum Hill"
30348;"Corylus avellana L."
30349;"Cornus sanguinea L."
30352;"Cirsium vulgare (Savi) Ten."
30354;"Chenopodium album L."
30358;"Cardamine pratensis L."
30367;"Astrantia major L."
30407;"Cyclamen hederifolium Aiton"
30415;"Viburnum tinus L."
30420;"Syringa vulgaris L."
30429;"Salvia officinalis L."
30433;"Phacelia tanacetifolia Benth."
30440;"Linaria vulgaris Mill."
30444;"Jacobaea vulgaris Gaertn."
30447;"Galium aparine L."
30449;"Foeniculum vulgare Mill."
30455;"Cichorium intybus L."
30463;"Arum italicum Mill."
30469;"Quercus robur L."
30474;"Vinca minor L."
30475;"Vinca major L."
30488;"Lamium purpureum L."
30489;"Lactuca serriola L."
30494;"Mirabilis jalapa L."
30504;"Cercis siliquastrum L."
30505;"Diplotaxis erucoides (L.) DC."
30509;"Bellis perennis L."
30514;"Alnus glutinosa (L.) Gaertn."
30516;"Ulex europaeus L."
30519;"Veronica chamaedrys L."
30548;"Sambucus ebulus L."
30591;"Cerastium tomentosum L."
30612;"Ajuga reptans L."
30634;"Viburnum opulus L."
30661;"Taxus baccata L."
30674;"Reynoutria japonica Houtt."
30683;"Nerium oleander L."
30697;"Jacobaea maritima (L.) Pelser & Meijden"
30698;"Impatiens glandulifera Royle"
30723;"Borago officinalis L."
30728;"Artemisia vulgaris L."
30745;"Aphyllanthes monspeliensis L."
30750;"Juglans regia L."
30786;"Onobrychis viciifolia Scop."
30849;"Centranthus ruber (L.) DC."
30860;"Buxus sempervirens L."
30898;"Plumbago auriculata Lam."
30914;"Salvia microphylla Kunth"
30938;"Campanula glomerata L."
30949;"Symphytum officinale L."
30988;"Galium verum L."
31006;"Geranium sanguineum L."
31010;"Convallaria majalis L."
31097;"Phlomis fruticosa L."
31107;"Melittis melissophyllum L."
31115;"Helianthus annuus L."
31218;"Daucus carota L."
31261;"Portulaca grandiflora Hook."
31292;"Calendula officinalis L."
31345;"Lunaria annua L."
31364;"Dianthus barbatus L."
31395;"Rumex obtusifolius L."
31441;"Catalpa bignonioides Walter"
31450;"Agave americana L."
31460;"Cosmos bipinnatus Cav."
31997;"Laburnum anagyroides Medik."
32012;"Albizia julibrissin Durazz."
32101;"Lonicera japonica Thunb."
32183;"Osteospermum ecklonis (DC.) Norl."
32227;"Polygala myrtifolia L."
32243;"Hyacinthus orientalis L."
32323;"Achillea filipendulina Lam."
32363;"Alliaria petiolata (M.Bieb.) Cavara & Grande"
32656;"Carpobrotus edulis (L.) N.E.Br."
32860;"Cytisus scoparius (L.) Link"
33097;"Gazania rigens (L.) Gaertn."
33194;"Hemerocallis fulva (L.) L."
33210;"Himantoglossum hircinum (L.) Spreng."
33251;"Impatiens balfouri Hook.f."
33514;"Muscari neglectum Guss. ex Ten."
33757;"Pittosporum tobira (Thunb.) W.T.Aiton"
34244;"Urospermum dalechampii (L.) Scop. ex F.W.Schmidt"
34332;"Zantedeschia aethiopica (L.) Spreng."
